round,track,competition,date,laptime,driver,Sector_1,Sector_2,Sector_3
1,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:20.415,Eerdt,00:15.718,00:41.665,00:23.032
2,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.148,Eerdt,00:15.741,00:29.081,00:22.326
3,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.578,Eerdt,00:16.333,00:29.366,00:21.879
4,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.017,Eerdt,00:15.877,00:29.441,00:21.699
5,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.55,Eerdt,00:15.883,00:30.216,00:22.451
6,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:29.984,Eerdt,00:16.072,00:32.122,00:41.789
7,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.798,Eerdt,00:16.283,00:29.511,00:23.004
8,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:13.518,Eerdt,00:16.133,00:34.303,00:23.083
9,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.63,Eerdt,00:15.768,00:30.768,00:23.094
10,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.185,Eerdt,,,
11,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.265,Eerdt,00:15.781,00:30.123,00:22.361
12,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:06.434,Eerdt,00:15.814,00:29.049,00:21.572
13,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:06.538,Eerdt,00:15.638,00:29.11,00:21.79
14,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.941,Eerdt,00:16.016,00:29.676,00:22.249
15,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,03:14.078,Eerdt,00:16.719,02:33.559,00:23.799
16,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,02:45.711,Eerdt,00:37.696,01:05.512,01:02.504
17,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,03:43.819,Eerdt,00:29.783,02:48.000,00:26.036
18,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:19.034,Eerdt,00:21.676,00:35.038,00:22.32
1,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:06.995,Mathijs,00:15.794,00:29.408,00:21.837
2,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:14.011,Mathijs,00:16.20,00:35.974,00:21.837
3,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.412,Mathijs,00:15.766,00:29.292,00:23.354
4,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:06.497,Mathijs,00:15.775,00:29.54,00:21.182
5,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:06.482,Mathijs,00:15.872,00:29.06,00:21.549
6,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:13.849,Mathijs,00:15.809,00:35.666,00:22.374
7,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.646,Mathijs,00:15.969,00:30.077,00:21.60
8,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:06.868,Mathijs,00:15.685,00:29.489,00:21.694
9,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:10.659,Mathijs,00:20.134,00:29.235,00:21.29
10,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.835,Mathijs,00:15.799,00:30.717,00:22.319
11,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.837,Mathijs,00:18.292,00:30.101,00:21.444
12,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.208,Mathijs,00:15.81,00:29.521,00:22.877
13,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.014,Mathijs,00:16.006,00:29.442,00:21.566
14,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.222,Mathijs,00:16.401,00:29.486,00:21.335
15,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.128,Mathijs,00:15.858,00:29.247,00:22.023
16,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.567,Mathijs,00:15.876,00:30.405,00:21.286
17,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.292,Mathijs,00:15.753,00:29.569,00:21.97
18,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.039,Mathijs,00:15.823,00:29.675,00:21.541
19,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.505,Mathijs,00:16.125,00:29.898,00:21.482
20,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.187,Mathijs,00:15.748,00:29.495,00:21.944
21,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:06.771,Mathijs,00:15.629,00:29.426,00:21.716
22,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.805,Mathijs,00:15.804,00:30.087,00:21.914
23,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:11.784,Mathijs,00:20.197,00:29.862,00:21.726
1,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.427,Paul,00:16.048,00:30.043,00:22.292
2,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.822,Paul,00:15.996,00:30.533,00:22.292
3,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.821,Paul,00:16.184,00:29.738,00:22.899
4,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:21.505,Paul,00:15.607,00:42.957,00:22.941
5,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.028,Paul,00:15.987,00:29.346,00:21.695
6,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:10.707,Paul,00:16.074,00:29.866,00:24.766
7,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.802,Paul,00:15.927,00:29.616,00:22.259
8,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.75,Paul,00:15.962,00:30.249,00:22.539
9,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.485,Paul,00:15.869,00:30.168,00:22.448
10,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.199,Paul,00:15.987,00:30.313,00:22.899
11,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.899,Paul,00:16.501,00:29.937,00:22.461
12,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:14.023,Paul,00:16.261,00:30.565,00:27.197
13,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.448,Paul,00:15.922,00:30.326,00:23.20
14,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:16.981,Paul,00:15.852,00:37.086,00:24.044
15,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.973,Paul,00:15.821,00:29.863,00:22.288
16,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:10.073,Paul,00:16.766,00:30.348,00:22.959
17,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.58,Paul,00:15.63,00:29.395,00:22.555
18,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.308,Paul,00:16.125,00:29.74,00:22.443
19,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.511,Paul,00:15.738,00:29.448,00:22.325
20,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.594,Paul,00:15.922,00:31.038,00:22.634
21,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.019,Paul,00:16.078,00:30.77,00:22.171
22,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.154,Paul,00:15.899,00:30.193,00:22.061
23,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:18.604,Paul,00:21.121,00:34.828,00:22.655
1,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.977,Roeland,00:16.663,00:29.242,00:22.072
2,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.415,Roeland,00:15.502,00:30.008,00:21.904
3,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.924,Roeland,00:15.661,00:29.593,00:22.67
4,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.251,Roeland,00:15.893,00:29.662,00:21.696
5,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.318,Roeland,00:15.653,00:29.704,00:21.961
6,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.402,Roeland,00:15.997,00:30.546,00:21.859
7,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.208,Roeland,00:15.876,00:29.964,00:22.368
8,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.265,Roeland,00:16.458,00:29.496,00:22.312
9,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.538,Roeland,00:16.027,00:29.627,00:21.884
10,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:21.135,Roeland,00:15.983,00:30.413,00:34.739
11,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:17.164,Roeland,00:25.478,00:29.581,00:22.105
12,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.658,Roeland,00:15.826,00:29.663,00:22.169
13,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:15.831,Roeland,00:15.511,00:38.264,00:22.055
14,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.51,Roeland,00:15.857,00:30.345,00:23.308
15,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.928,Roeland,00:15.936,00:30.607,00:22.385
16,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.081,Roeland,00:16.227,00:30.038,00:21.816
17,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.197,Roeland,00:15.749,00:29.616,00:21.833
18,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.533,Roeland,00:15.927,00:30.898,00:22.709
19,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:08.487,Roeland,00:15.955,00:30.346,00:22.187
20,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:23.304,Roeland,00:15.804,00:44.814,00:22.687
21,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.595,Roeland,00:15.847,00:29.732,00:22.016
22,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:07.804,Roeland,00:16.214,00:29.567,00:22.023
23,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:14.032,Roeland,00:21.613,00:30.279,00:22.14
1,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:14.597,Benoit,00:15.731,00:30.781,00:28.085
2,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.121,Benoit,00:16.503,00:30.484,00:22.134
3,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:11.507,Benoit,00:16.486,00:31.842,00:23.178
4,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.701,Benoit,00:15.972,00:31.61,00:22.119
5,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.266,Benoit,00:15.933,00:30.54,00:22.793
6,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.913,Benoit,00:15.994,00:31.688,00:22.231
7,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:18.489,Benoit,00:26.371,00:30.145,00:21.973
8,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:13.008,Benoit,00:16.421,00:34.669,00:21.918
9,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.23,Benoit,00:16.672,00:30.453,00:22.105
10,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.11,Benoit,00:16.053,00:31.067,00:21.991
11,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.554,Benoit,00:16.119,00:31.099,00:22.335
12,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.33,Benoit,,,
13,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.388,Benoit,00:16.342,00:31.015,00:22.031
14,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.137,Benoit,00:15.905,00:30.742,00:22.491
15,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:19.33,Benoit,00:16.354,00:40.714,00:22.262
16,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.314,Benoit,00:16.596,00:30.651,00:22.068
17,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:19.23,Benoit,00:16.408,00:40.52,00:22.302
18,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.698,Benoit,00:16.319,00:31.024,00:22.355
19,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:10.587,Benoit,00:16.308,00:31.636,00:22.643
20,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.505,Benoit,00:16.248,00:30.918,00:22.339
21,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:09.482,Benoit,,,
22,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:16.176,Benoit,00:22.188,00:31.476,00:22.512
1,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:10.171,Lieneke,00:16.185,00:30.182,00:23.804
2,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:11.83,Lieneke,00:16.828,00:31.313,00:23.689
3,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:13.212,Lieneke,00:16.383,00:32.078,00:24.75
4,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:12.127,Lieneke,00:16.594,00:31.697,00:23.836
5,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:12.178,Lieneke,00:16.78,00:31.37,00:24.028
6,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:15.607,Lieneke,00:16.596,00:30.516,00:28.495
7,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:12.101,Lieneke,00:16.506,00:31.458,00:24.136
8,Spielberg Grand Prix Circuit,Formula Ultimate 2018,07/23/2022,01:11.815,Lieneke,00:16.457,00:31.135,00:24.222
